"name" "id" "judgmentDate" "year"
"110" NA 36732 "2014-03-04" 2014
"111" "Rafał Maciejewski" 36733 "2014-02-19" 2014
"112" NA 36734 "2014-03-04" 2014
"113" "Rafał Maciejewski" 36735 "2014-02-12" 2014
"114" "Dorota Sulińska-Kowalska Protokolant Sekr. Sąd. Paweł Miszczak" 36736 "2014-02-04" 2014
"115" NA 36737 "2014-02-06" 2014
"116" NA 36813 "2014-02-24" 2014
"117" "Izabela Wawrzynkiewicz" 36814 "2014-02-07" 2014
"118" "Wojciech Borten" 36814 "2014-02-07" 2014
"119" "Zofia Szcześniewicz" 36814 "2014-02-07" 2014
"120" NA 36815 "2014-02-24" 2014
"121" "Bogdan Jachowicz" 36816 "2014-02-10" 2014
"122" "Bożena Rządzińska" 36816 "2014-02-10" 2014
"123" "Sławomir Zieliński" 36816 "2014-02-10" 2014
"124" NA 36818 "2014-03-05" 2014
"125" "Jacek Kępa" 36819 "2014-02-03" 2014
"126" "Krystyna Pisarska" 36855 "2014-02-28" 2014
"127" "Piotr Augustyniak" 36855 "2014-02-28" 2014
"128" "Wojciech Janicki" 36855 "2014-02-28" 2014
"129" "Jarosław Pawlak" 36870 "2014-02-14" 2014
"130" "Mariola Szczepańska" 36870 "2014-02-14" 2014
"131" "Mariola Szczepańska Marzena Eichstaedt Jarosław Pawlak" 36870 "2014-02-14" 2014
"132" "Marzena Eichstaedt" 36870 "2014-02-14" 2014
"133" NA 36871 "2014-02-28" 2014
"134" NA 36941 "2014-02-21" 2014
"135" "Izabela Wawrzynkiewicz" 36942 "2014-02-07" 2014
"136" "Wojciech Borten" 36942 "2014-02-07" 2014
"137" "Zofia Szcześniewicz" 36942 "2014-02-07" 2014
"138" "Izabela Wawrzynkiewicz" 36943 "2014-02-07" 2014
"139" "Wojciech Borten" 36943 "2014-02-07" 2014
"140" "Zofia Szcześniewicz" 36943 "2014-02-07" 2014
"141" NA 36944 "2014-02-14" 2014
"142" NA 36945 "2014-02-17" 2014
"143" "Izabela Wawrzynkiewicz" 36946 "2014-02-07" 2014
"144" "Wojciech Borten" 36946 "2014-02-07" 2014
"145" "Zofia Szcześniewicz" 36946 "2014-02-07" 2014
"146" "Izabela Wawrzynkiewicz" 36947 "2014-02-07" 2014
"147" "Wojciech Borten" 36947 "2014-02-07" 2014
"148" "Zofia Szcześniewicz" 36947 "2014-02-07" 2014
"149" NA 36948 "2014-02-28" 2014
"150" NA 36949 "2014-02-24" 2014
"151" "Bogdan Jachowicz" 36950 "2014-02-10" 2014
"152" "Bożena Rządzińska" 36950 "2014-02-10" 2014
"153" "Sławomir Zieliński" 36950 "2014-02-10" 2014
"154" NA 36951 "2014-02-21" 2014
"155" "Izabela Wawrzynkiewicz" 36952 "2014-02-07" 2014
"156" "Wojciech Borten" 36952 "2014-02-07" 2014
"157" "Zofia Szcześniewicz" 36952 "2014-02-07" 2014
"158" NA 36953 "2014-03-03" 2014
"159" "Bogdan Jachowicz" 36954 "2014-02-13" 2014
"160" "Bożena Rządzińska" 36954 "2014-02-13" 2014
"161" "Zofia Szcześniewicz" 36954 "2014-02-13" 2014
"162" NA 36955 "2014-02-25" 2014
"163" "Bogdan Jachowicz" 36956 "2014-02-10" 2014
"164" "Bożena Rządzińska" 36956 "2014-02-10" 2014
"165" "Sławomir Zieliński" 36956 "2014-02-10" 2014
"166" NA 36957 "2014-02-25" 2014
"167" "Elżbieta Gawryszczak" 36958 "2014-02-17" 2014
"168" "Jacek Kępa" 36958 "2014-02-17" 2014
"169" "Wojciech Borten" 36958 "2014-02-17" 2014
"170" NA 36959 "2014-03-04" 2014
"171" "B. Pięcek" 36960 "2014-02-18" 2014
"172" "B. Rządzińska" 36960 "2014-02-18" 2014
"173" "K. Grzegorczyk" 36960 "2014-02-18" 2014
"174" NA 36961 "2014-02-26" 2014
"175" "Barbara Pięcek" 36962 "2014-02-12" 2014
"176" "Krzysztof Kacprzak" 36962 "2014-02-12" 2014
"177" "Marta Witoszyńska" 36962 "2014-02-12" 2014
"178" NA 36963 "2014-02-20" 2014
"179" "Jacek Kępa" 36964 "2014-02-20" 2014
"180" "Michał Krakowiak" 36964 "2014-02-20" 2014
"181" "Sławomir Zieliński" 36964 "2014-02-20" 2014
"182" "Bogdan Jachowicz" 36965 "2014-02-13" 2014
"183" "Bożena Rządzińska" 36965 "2014-02-13" 2014
"184" "Zofia Szcześniewicz" 36965 "2014-02-13" 2014
"185" NA 36966 "2014-02-25" 2014
"186" NA 36967 "2014-02-20" 2014
"187" "Maria Machnicka-Stańczyk" 36968 "2014-02-06" 2014
"188" NA 36969 "2014-03-03" 2014
"189" "Krzysztof Kacprzak" 36970 "2014-02-12" 2014
"190" NA 36972 "2014-03-06" 2014
"191" "Zofia Szcześniewicz" 36973 "2014-02-19" 2014
"192" NA 36974 "2014-02-27" 2014
"193" "Bogdan Jachowicz" 36975 "2014-02-10" 2014
"194" "Bożena Rządzińska" 36975 "2014-02-10" 2014
"195" "Sławomir Zieliński" 36975 "2014-02-10" 2014
"196" "Jacek Kępa" 36976 "2014-02-11" 2014
"197" "Krzysztof Turbiński" 36976 "2014-02-11" 2014
"198" "Wojciech Borten" 36976 "2014-02-11" 2014
"199" NA 36977 "2014-02-11" 2014
"200" NA 36981 "2014-02-25" 2014
"201" "Elżbieta Gawryszczak" 36982 "2014-02-17" 2014
"202" "Jacek Kępa" 36982 "2014-02-17" 2014
"203" "Wojciech Borten" 36982 "2014-02-17" 2014
"204" NA 37007 "2014-02-18" 2014
"205" "Karol Kotyński" 37023 "2014-02-11" 2014
"206" "Monika Pawłowska-Radzimierska" 37023 "2014-02-11" 2014
"207" "Sędziowie" 37024 "2014-03-03" 2014
"208" "Anna Rodak" 37025 "2014-02-17" 2014
"209" "Karol Kotyński" 37025 "2014-02-17" 2014
"210" "Monika Pawłowska-Radzimierska" 37025 "2014-02-17" 2014
"211" "Sędziowie" 37026 "2014-03-03" 2014
"212" "Sędziowie" 37027 "2014-03-03" 2014
"213" "Anna Rodak" 37028 "2014-02-17" 2014
"214" "Karol Kotyński" 37028 "2014-02-17" 2014
"215" "Monika Pawłowska-Radzimierska" 37028 "2014-02-17" 2014
"216" NA 37280 "2014-02-25" 2014
"217" "Barbara Pięcek" 37281 "2014-02-03" 2014
"218" "Elżbieta Gawryszczak" 37281 "2014-02-03" 2014
"219" "Jacek Kępa" 37281 "2014-02-03" 2014
"220" NA 37282 "2014-02-20" 2014
"221" "Barbara Pięcek" 37283 "2014-02-03" 2014
"222" "Elżbieta Gawryszczak" 37283 "2014-02-03" 2014
"223" "Jacek Kępa" 37283 "2014-02-03" 2014
"224" NA 37284 "2014-02-20" 2014
"225" "Barbara Pięcek" 37285 "2014-02-03" 2014
"226" "Elżbieta Gawryszczak" 37285 "2014-02-03" 2014
"227" "Jacek Kępa" 37285 "2014-02-03" 2014
"228" "Bogdan Jachowicz" 37286 "2014-02-04" 2014
"229" "Bożena Rządzińska" 37286 "2014-02-04" 2014
"230" "Izabela Wawrzynkiewicz" 37286 "2014-02-04" 2014
"231" NA 37287 "2014-03-06" 2014
