"name" "lat" "lon" "lat.lon" "no.judg"
"132" "Sąd Rejonowy w Starachowicach" 51.05087 21.0801512 "51.05087:21.0801512" 0
"133" "Sąd Okręgowy w Krakowie" 50.0636656 19.9619104 "50.0636656:19.9619104" 1166
"134" "Sąd Rejonowy w Chrzanowie" 50.1412755 19.4022241 "50.1412755:19.4022241" 0
"135" "Sąd Rejonowy dla Krakowa-Krowodrzy w Krakowie" 50.0636671 19.961912 "50.0636671:19.961912" 0
"136" "Sąd Rejonowy dla Krakowa-Nowej Huty w Krakowie" 50.0646501 19.9449799 "50.0646501:19.9449799" 0
"137" "Sąd Rejonowy dla Krakowa-Podgórza w Krakowie" 50.2303575 19.8530933 "50.2303575:19.8530933" 0
"154" "Sąd Apelacyjny w Łodzi" 51.77243 19.471834 "51.77243:19.471834" 2859
"155" "Sąd Okręgowy w Kaliszu" 51.7599145 18.0893069 "51.7599145:18.0893069" 1310
"156" "Sąd Rejonowy w Jarocinie" 51.9730075 17.4972765 "51.9730075:17.4972765" 0
"157" "Sąd Rejonowy w Kępnie" 51.2822286 17.989764 "51.2822286:17.989764" 0
"158" "Sąd Rejonowy w Ostrowie Wielkopolskim" 51.6490168 17.820245 "51.6490168:17.820245" 0
"159" "Sąd Okręgowy w Łodzi" 51.7725342 19.4711296 "51.7725342:19.4711296" 3996
"160" "Sąd Rejonowy w Kutnie" 52.2360322 19.3538392 "52.2360322:19.3538392" 0
"161" "Sąd Rejonowy dla Łodzi-Śródmieścia w Łodzi" 51.7570991 19.4558076 "51.7570991:19.4558076" 0
"162" "Sąd Rejonowy dla Łodzi-Widzewa w Łodzi" 51.760086 19.5056665 "51.760086:19.5056665" 0
"163" "Sąd Rejonowy w Łowiczu" 52.1051279 19.9474382 "52.1051279:19.9474382" 0
"179" "Sąd Rejonowy w Ciechanowie" 52.8790738 20.6206888 "52.8790738:20.6206888" 0
"180" "Sąd Rejonowy w Gostyninie" 52.4218801 19.4599845 "52.4218801:19.4599845" 0
