"CourtCode" "CourtName" "lon" "lat"
"78" "15251500" "Sąd Okręgowy w Piotrkowie Trybunalskim" 19.6913649 51.4093396
"79" "15252000" "Sąd Okręgowy w Sieradzu" 18.7310885 51.5936483
"80" "15252500" "Sąd Okręgowy w Płocku" 19.6879641 52.5429012
"81" "15300000" "Sąd Apelacyjny w Lublinie" 22.5481574 51.245149
"82" "15300500" "Sąd Okręgowy w Lublinie" 22.5560582 51.248044
"83" "15301000" "Sąd Okręgowy w Radomiu" 21.1528828 51.3986452
"84" "15301500" "Sąd Okręgowy w Siedlcach" 22.2804934 52.1685982
"85" "15302000" "Sąd Okręgowy w Zamościu" 23.249559 50.717513
"86" "15350000" "Sąd Apelacyjny w Poznaniu" 16.918097 52.438581
"87" "15350500" "Sąd Okręgowy w Koninie" 18.2498566 52.2328898
"88" "15351000" "Sąd Okręgowy w Poznaniu" 16.9291459 52.4111667
"89" "15351500" "Sąd Okręgowy w Zielonej Górze" 15.5036403 51.9371793
"90" "15400000" "Sąd Apelacyjny w Rzeszowie" 22.0065174 50.0408168
"91" "15400500" "Sąd Okręgowy w Krośnie" 21.7661504 49.6922865
"92" "15401000" "Sąd Okręgowy w Rzeszowie" 22.0006845 50.032653
"93" "15401500" "Sąd Okręgowy w Tarnobrzegu" 21.6790698 50.5729079
"94" "15401515" "Sąd Rejonowy w Tarnobrzegu" 21.6790698 50.5729079
"95" "15402000" "Sąd Okręgowy w Przemyślu" 22.7802668 49.7816148
"96" "15550000" "Sąd Apelacyjny w Szczecinie" 16.2002203 54.1920451
"97" "15550500" "Sąd Okręgowy w Gorzowie Wielkopolskim" 15.2295549 52.7427474
"98" "15551000" "Sąd Okręgowy w Koszalinie" 16.2002203 54.1920451
"99" "15551500" "Sąd Okręgowy w Szczecinie" 16.2002203 54.1920451
"100" "15450000" "Sąd Apelacyjny w Warszawie" 21.0047279 52.2499898
"101" "15450500" "Sąd Okręgowy w Warszawie" 20.991976 52.2410058
"102" "15450505" "Sąd Rejonowy w Grodzisku Mazowieckim" 20.627744 52.107306
"103" "15450510" "Sąd Rejonowy w Piasecznie" 21.0266679 52.0732251
"104" "15450515" "Sąd Rejonowy w Pruszkowie" 20.811445 52.162731
"105" "15450520" "Sąd Rejonowy dla Warszawy-Mokotowa w Warszawie" 20.985633 52.2374248
"106" "15450525" "Sąd Rejonowy dla m. st. Warszawy w Warszawie" 21.0137813 52.2274854
"107" "15450530" "Sąd Rejonowy dla Warszawy-Śródmieścia w Warszawie" 21.0137813 52.2274854
"108" "15450540" "Sąd Rejonowy dla Warszawy-Żoliborza w Warszawie" 21.0122287 52.2296756
"109" "15451000" "Sąd Okręgowy Warszawa-Praga w Warszawie" 21.0691811 52.2488288
"110" "15451005" "Sąd Rejonowy w Legionowie" 20.9192218 52.3948021
"111" "15451010" "Sąd Rejonowy w Nowym Dworze Mazowieckim" 20.7144904 52.4297816
"112" "15451015" "Sąd Rejonowy w Otwocku" 21.2661561 52.1056111
"113" "15451020" "Sąd Rejonowy dla Warszawy Pragi-Południe w Waszawie" 21.0691811 52.2488288
"114" "15451025" "Sąd Rejonowy dla Warszawy Pragi-Północ w Waszawie" 21.0691811 52.2488288
"115" "15451030" "Sąd Rejonowy w Wołominie" 21.2389141 52.3437534
"116" "00000001" "Trybunał Konstytucyjny" NA NA
"117" "00000002" "Sąd Najwyższy" NA NA
