"id" "judgmentDate" "year" "id" "name1" "name2" "divisionid"
"63" 35997 "2014-01-31" 2014 35997 "Jarosław Pawlak" "Krzysztof Wójcik" 1027
"64" 35997 "2014-01-31" 2014 35997 "Jarosław Pawlak" "Krzysztof Wójcik Mariola Szczepańska Jarosław Pawlak" 1027
"65" 35997 "2014-01-31" 2014 35997 "Jarosław Pawlak" "Mariola Szczepańska" 1027
"66" 35997 "2014-01-31" 2014 35997 "Krzysztof Wójcik" "Jarosław Pawlak" 1027
"67" 35997 "2014-01-31" 2014 35997 "Krzysztof Wójcik" "Krzysztof Wójcik Mariola Szczepańska Jarosław Pawlak" 1027
"68" 35997 "2014-01-31" 2014 35997 "Krzysztof Wójcik" "Mariola Szczepańska" 1027
"69" 35997 "2014-01-31" 2014 35997 "Krzysztof Wójcik Mariola Szczepańska Jarosław Pawlak" "Jarosław Pawlak" 1027
"70" 35997 "2014-01-31" 2014 35997 "Krzysztof Wójcik Mariola Szczepańska Jarosław Pawlak" "Krzysztof Wójcik" 1027
"71" 35997 "2014-01-31" 2014 35997 "Krzysztof Wójcik Mariola Szczepańska Jarosław Pawlak" "Mariola Szczepańska" 1027
"72" 35997 "2014-01-31" 2014 35997 "Mariola Szczepańska" "Jarosław Pawlak" 1027
"73" 35997 "2014-01-31" 2014 35997 "Mariola Szczepańska" "Krzysztof Wójcik" 1027
"74" 35997 "2014-01-31" 2014 35997 "Mariola Szczepańska" "Krzysztof Wójcik Mariola Szczepańska Jarosław Pawlak" 1027
"75" 36347 "2014-02-06" 2014 36347 "Karol Kotyński" "Monika Pawłowska-Radzimierska" 1022
"76" 36347 "2014-02-06" 2014 36347 "Monika Pawłowska-Radzimierska" "Karol Kotyński" 1022
"77" 36350 "2014-02-17" 2014 36350 "Anna Rodak" "Karol Kotyński" 1022
"78" 36350 "2014-02-17" 2014 36350 "Anna Rodak" "Monika Pawłowska-Radzimierska" 1022
"79" 36350 "2014-02-17" 2014 36350 "Karol Kotyński" "Anna Rodak" 1022
"80" 36350 "2014-02-17" 2014 36350 "Karol Kotyński" "Monika Pawłowska-Radzimierska" 1022
"81" 36350 "2014-02-17" 2014 36350 "Monika Pawłowska-Radzimierska" "Anna Rodak" 1022
"82" 36350 "2014-02-17" 2014 36350 "Monika Pawłowska-Radzimierska" "Karol Kotyński" 1022
"83" 36354 "2014-01-30" 2014 36354 "Anna Rodak" "Paweł Antczak" 1022
"84" 36354 "2014-01-30" 2014 36354 "Paweł Antczak" "Anna Rodak" 1022
"85" 36357 "2014-01-30" 2014 36357 "Anna Rodak" "Paweł Antczak" 1022
"86" 36357 "2014-01-30" 2014 36357 "Paweł Antczak" "Anna Rodak" 1022
"87" 36525 "2014-02-12" 2014 36525 "Alicja Litwicka-Cysek" "Jacek Przybysz" 1020
"88" 36525 "2014-02-12" 2014 36525 "Alicja Litwicka-Cysek" "Marzena Lesiuk" 1020
"89" 36525 "2014-02-12" 2014 36525 "Jacek Przybysz" "Alicja Litwicka-Cysek" 1020
"90" 36525 "2014-02-12" 2014 36525 "Jacek Przybysz" "Marzena Lesiuk" 1020
"91" 36525 "2014-02-12" 2014 36525 "Marzena Lesiuk" "Alicja Litwicka-Cysek" 1020
"92" 36525 "2014-02-12" 2014 36525 "Marzena Lesiuk" "Jacek Przybysz" 1020
"93" 36526 "2014-02-26" 2014 36526 "Jarosław Bolek" "Wojciech Cerski" 1020
"94" 36526 "2014-02-26" 2014 36526 "Jarosław Bolek" "Zbigniew Mierzejewski" 1020
"95" 36526 "2014-02-26" 2014 36526 "Wojciech Cerski" "Jarosław Bolek" 1020
"96" 36526 "2014-02-26" 2014 36526 "Wojciech Cerski" "Zbigniew Mierzejewski" 1020
"97" 36526 "2014-02-26" 2014 36526 "Zbigniew Mierzejewski" "Jarosław Bolek" 1020
"98" 36526 "2014-02-26" 2014 36526 "Zbigniew Mierzejewski" "Wojciech Cerski" 1020
"99" 36527 "2014-02-26" 2014 36527 "Jarosław Bolek" "Wojciech Cerski" 1020
"100" 36527 "2014-02-26" 2014 36527 "Jarosław Bolek" "Zbigniew Mierzejewski" 1020
"101" 36527 "2014-02-26" 2014 36527 "Wojciech Cerski" "Jarosław Bolek" 1020
"102" 36527 "2014-02-26" 2014 36527 "Wojciech Cerski" "Zbigniew Mierzejewski" 1020
"103" 36527 "2014-02-26" 2014 36527 "Zbigniew Mierzejewski" "Jarosław Bolek" 1020
"104" 36527 "2014-02-26" 2014 36527 "Zbigniew Mierzejewski" "Wojciech Cerski" 1020
"105" 36529 "2014-02-04" 2014 36529 "Anna Rodak" "Magdalena Lisowska" 1022
"106" 36529 "2014-02-04" 2014 36529 "Magdalena Lisowska" "Anna Rodak" 1022
"107" 36530 "2014-01-30" 2014 36530 "Anna Rodak" "Paweł Antczak" 1022
"108" 36530 "2014-01-30" 2014 36530 "Paweł Antczak" "Anna Rodak" 1022
"109" 36536 "2014-02-12" 2014 36536 "Iwona Godlewska" "Krystyna Szereda" 1027
"110" 36536 "2014-02-12" 2014 36536 "Iwona Godlewska" "Marzena Eichstaedt" 1027
"111" 36536 "2014-02-12" 2014 36536 "Krystyna Szereda" "Iwona Godlewska" 1027
"112" 36536 "2014-02-12" 2014 36536 "Krystyna Szereda" "Marzena Eichstaedt" 1027
"113" 36536 "2014-02-12" 2014 36536 "Marzena Eichstaedt" "Iwona Godlewska" 1027
"114" 36536 "2014-02-12" 2014 36536 "Marzena Eichstaedt" "Krystyna Szereda" 1027
"115" 36691 "2014-02-04" 2014 36691 "Jarosław Bolek" "Mariusz Szczygielski" 1020
"116" 36691 "2014-02-04" 2014 36691 "Jarosław Bolek" "Wojciech Janicki" 1020
"117" 36691 "2014-02-04" 2014 36691 "Mariusz Szczygielski" "Jarosław Bolek" 1020
"118" 36691 "2014-02-04" 2014 36691 "Mariusz Szczygielski" "Wojciech Janicki" 1020
"119" 36691 "2014-02-04" 2014 36691 "Wojciech Janicki" "Jarosław Bolek" 1020
"120" 36691 "2014-02-04" 2014 36691 "Wojciech Janicki" "Mariusz Szczygielski" 1020
"121" 36692 "2014-02-28" 2014 36692 "Krystyna Pisarska" "Piotr Augustyniak" 1020
"122" 36692 "2014-02-28" 2014 36692 "Krystyna Pisarska" "Wojciech Janicki" 1020
"123" 36692 "2014-02-28" 2014 36692 "Piotr Augustyniak" "Krystyna Pisarska" 1020
"124" 36692 "2014-02-28" 2014 36692 "Piotr Augustyniak" "Wojciech Janicki" 1020
"125" 36692 "2014-02-28" 2014 36692 "Wojciech Janicki" "Krystyna Pisarska" 1020
"126" 36692 "2014-02-28" 2014 36692 "Wojciech Janicki" "Piotr Augustyniak" 1020
"127" 36693 "2014-02-28" 2014 36693 "Krystyna Pisarska" "Piotr Augustyniak" 1020
"128" 36693 "2014-02-28" 2014 36693 "Krystyna Pisarska" "Wojciech Janicki" 1020
"129" 36693 "2014-02-28" 2014 36693 "Piotr Augustyniak" "Krystyna Pisarska" 1020
"130" 36693 "2014-02-28" 2014 36693 "Piotr Augustyniak" "Wojciech Janicki" 1020
"131" 36693 "2014-02-28" 2014 36693 "Wojciech Janicki" "Krystyna Pisarska" 1020
"132" 36693 "2014-02-28" 2014 36693 "Wojciech Janicki" "Piotr Augustyniak" 1020
"133" 36694 "2014-02-28" 2014 36694 "Krystyna Pisarska" "Piotr Augustyniak" 1020
"134" 36694 "2014-02-28" 2014 36694 "Krystyna Pisarska" "Wojciech Janicki" 1020
"135" 36694 "2014-02-28" 2014 36694 "Piotr Augustyniak" "Krystyna Pisarska" 1020
"136" 36694 "2014-02-28" 2014 36694 "Piotr Augustyniak" "Wojciech Janicki" 1020
